Year,GMSL,SigmaError
1939.916667,-103.451505,19.75335936
1940,-102.236191,19.73929378
1940.083333,-105.6516175,19.72621006
1940.166667,-103.5709575,19.71312668
1940.25,-104.5523116,19.70004363
1940.333333,-103.9472206,19.68696092
1940.416667,-103.4470286,19.67386908
1940.5,-103.6621695,19.66078703
1940.583333,-104.4477199,19.64847969
1940.666667,-102.4489533,19.63621585
1940.75,-101.8899429,19.62462288
1940.833333,-103.6582901,19.61037872
1940.916667,-99.09373713,19.59809629
1941,-100.3468013,19.58565201
1941.083333,-100.7188825,19.57336775
1941.166667,-100.1331435,19.56109327
1941.25,-99.97214856,19.54836172
1941.333333,-101.7451216,19.53609996
1941.416667,-102.1378284,19.52292202
1941.5,-100.7086435,19.51065934
1941.583333,-101.4143048,19.49757203
1941.666667,-100.9281355,19.48452092
1941.75,-100.3430484,19.47209741
1941.833333,-101.7469062,19.45943978
1941.916667,-99.89133751,19.44799698
1942,-97.41617775,19.47029985
1942.083333,-97.1961342,19.45791757
1942.166667,-98.74287973,19.44528442
1942.25,-99.25049608,19.42987681
1942.333333,-99.23720596,19.41676115
1942.416667,-97.99247613,19.40370962
1942.5,-100.2362295,19.39141172
1942.583333,-99.87943201,19.3783613
1942.666667,-100.742192,19.36529406
1942.75,-98.4687175,19.35224456
1942.833333,-99.37954687,19.3067049
1942.916667,-102.0226763,19.32942252
1943,-99.11115297,19.31262932
1943.083333,-103.907903,19.26419599
1943.166667,-100.5712405,19.25079596
1943.25,-100.5200308,19.23772425
1943.333333,-98.89997193,19.2245778
1943.416667,-96.69734177,19.21286247
1943.5,-96.43186354,19.1997735
1943.583333,-97.2582521,19.18670619
1943.666667,-96.40217708,19.17229318
1943.75,-97.48810892,19.15922986
1943.833333,-96.08820962,19.14616062
1943.916667,-95.95611649,19.13322284
1944,-97.32454074,19.10891056
1944.083333,-97.17322798,19.09583481
1944.166667,-96.2032766,19.0822877
1944.25,-96.04117975,19.06913157
1944.333333,-95.55151924,19.05605651
1944.416667,-96.23945555,19.04297874
1944.5,-93.94839139,19.02990748
1944.583333,-96.55829666,19.01765062
1944.666667,-95.64253139,19.0051649
1944.75,-96.33316395,18.99312077
1944.833333,-94.84857761,18.98090285
1944.916667,-95.78606333,18.96795305
1945,-91.9940592,18.95392089
1945.083333,-96.74877555,18.94166435
1945.166667,-97.44788212,18.92931615
1945.25,-94.02028936,18.91712212
1945.333333,-95.74236538,18.90486652
1945.416667,-95.16677256,18.89272476
1945.5,-93.49054894,18.87794118
1945.583333,-93.32774344,18.86519589
1945.666667,-92.1115144,18.85212321
1945.75,-94.49030196,18.83899804
1945.833333,-93.114276,18.82501048
1945.916667,-91.7619534,18.812059
1946,-93.49855648,18.79850876
1946.083333,-92.26052809,18.78506397
1946.166667,-92.2070537,18.77211214
1946.25,-91.63066099,18.7606764
1946.333333,-89.42269385,18.74744406
1946.416667,-90.15536544,18.7248221
1946.5,-89.53746625,18.70942509
1946.583333,-89.58195571,18.69659865
1946.666667,-90.04362222,18.68402871
1946.75,-90.29987492,18.67069543
1946.833333,-89.21055681,18.65815368
1946.916667,-87.61278716,18.64371205
1947,-89.67771737,18.62401755
1947.083333,-86.84611674,18.61093784
1947.166667,-90.34794992,18.59790729
1947.25,-90.03210159,18.59613056
1947.333333,-89.84456091,18.58096804
1947.416667,-88.64244042,18.55759386
1947.5,-90.06994704,18.5450514
1947.583333,-89.63641378,18.53279479
1947.666667,-91.45377297,18.51924542
1947.75,-88.65035347,18.50558297
1947.833333,-84.88879287,18.49207976
1947.916667,-87.32898087,18.4903436
1948,-89.95631423,18.47590435
1948.083333,-90.31054466,18.44371516
1948.166667,-91.11788371,18.44944524
1948.25,-90.15876049,18.43597456
1948.333333,-87.31203207,18.42223411
1948.416667,-86.71623097,18.39727596
1948.5,-86.03118728,18.38419933
1948.583333,-85.02791792,18.37123562
1948.666667,-86.58896375,18.35815981
1948.75,-87.976889,18.35321805
1948.833333,-86.4984929,18.32118523
1948.916667,-87.29150769,18.32681588
1949,-86.97194043,18.30451632
1949.083333,-86.87963371,18.29144141
1949.166667,-86.58569495,18.2783089
1949.25,-87.75395001,18.27457503
1949.333333,-85.37263316,18.26185126
1949.416667,-84.39616054,18.25002386
1949.5,-86.20789539,18.22759239
1949.583333,-86.86784384,18.21500452
1949.666667,-86.31236166,18.20091914
1949.75,-85.35230374,18.17338853
1949.833333,-84.11541308,18.17415635
1949.916667,-85.47202145,18.18655134
1950,-86.27988002,18.16419159
1950.083333,-87.12489502,18.11375602
1950.166667,-85.81203729,18.10074506
1950.25,-85.20903441,18.08766045
1950.333333,-84.55617454,18.07419844
1950.416667,-84.80481955,18.07455549
1950.5,-84.53606126,18.06148144
